Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Christian McCaffrey,9,,RB,9200,SF,@JAX,24.3,SF by 3,20%,-28%,-13%,0.0,0.0,0,0.0,0.0,12.7,17.1,16,4.5,4.8,4.3,4.6,4.6,0.9,7.9,36,22.5,26.4,26.4,14.7,38.1,20.3,2.2,20.2,2.2
Stefon Diggs,,,WR,9000,BUF,DEN,27.3,BUF by 7.5,14%,40%,-6%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,10.3,10.8,9.2,1.4,8.6,15,18.8,23.5,23.5,15.7,31.3,21.0,2.3,6.4,0.7
Justin Jefferson,,O,WR,8900,MIN,NO,19.3,NO by 2.5,-13%,2%,-4%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,9.3,10.6,0,1.0,10.8,0,21.1,23.8,23.8,13.6,34.0,0.0,0.0,0.0,0.0
Keenan Allen,7,,WR,8800,LAC,DET,22.8,DET by 3,0%,-30%,-11%,0.0,0.1,0,0.0,49.0,0.0,0.3,0.1,0.1,3.0,9.3,10.4,9.2,1.1,8.7,16,13.4,21.3,21.3,8.0,34.7,19.9,2.3,43.5,4.9
Ja'Marr Chase,7,,WR,8600,CIN,HOU,26.8,CIN by 6.5,8%,-12%,-23%,0.0,0.0,0,0.0,0.0,0.7,0.4,0.4,0.0,-2.0,11.0,11.6,8,1.9,7.5,14,16.8,20.8,20.8,4.5,37.0,19.4,2.3,26.4,3.1
CeeDee Lamb,12,,WR,8500,DAL,NYG,27.5,DAL by 16.5,-4%,16%,10%,0.0,0.0,0,0.0,0.0,0.3,0.5,0.6,0.1,8.3,12.3,9.0,7.4,1.1,11.4,13,32.6,21.5,21.5,9.0,34.0,20.2,2.4,42.5,5.0
Austin Ekeler,4,,RB,8400,LAC,DET,22.8,DET by 3,0%,-30%,-31%,0.0,0.0,0,0.0,0.0,14.3,14.6,13.3,2.6,3.6,5.7,5.6,6,1.0,7.1,33,17.0,18.1,18.1,8.2,28.0,19.0,2.3,21.5,2.6
Amon-Ra St. Brown,15,,WR,8300,DET,@LAC,25.8,DET by 3,30%,-18%,8%,0.0,0.0,0,0.0,0.0,0.0,0.1,0.3,0.0,4.0,14.3,11.1,8.9,1.0,8.5,14,26.5,22.3,22.3,16.4,28.1,20.6,2.5,33.5,4.0
Alvin Kamara,8,,RB,8300,NO,@MIN,21.8,NO by 2.5,2%,-7%,-13%,0.0,0.0,0,0.0,0.0,14.3,15.8,13.7,3.3,3.6,8.0,8.2,5.4,1.0,5.6,31,22.4,20.8,20.8,14.1,27.5,17.1,2.1,18.5,2.2
Josh Allen,,,QB,8300,BUF,DEN,27.3,BUF by 7.5,14%,40%,8%,39.7,36.0,35.1,5.4,7.5,7.3,4.9,5.8,1.6,5.3,0.0,0.0,0,0.0,0.0,66,28.4,25.6,25.6,17.1,34.1,24.5,3.0,17.4,2.1
Lamar Jackson,3,,QB,8000,BAL,CLE,22.3,BAL by 6,-34%,-18%,-28%,26.7,28.1,29,3.9,7.7,8.0,9.3,9,2.4,5.2,0.0,0.0,0,0.0,0.0,61,20.8,20.6,20.6,10.1,31.0,20.1,2.5,15.0,1.9
Davante Adams,1,,WR,8000,LV,NYJ,17.8,NYJ by 1,-21%,25%,-37%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,8.7,9.4,7.3,1.9,6.7,13,7.4,14.4,14.4,1.5,27.2,14.4,1.8,14.6,1.8
